id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
4148,J. McEachran,Brentford,24,English Championship,England,178,65,75,62,72,74,62,57,11,Midfielder
4149,K. Roofe,Leeds United,24,English Championship,England,178,71,81,70,66,72,50,66,13,Striker
4150,L. Cabrera,Crotone,25,Italian Serie A,Uruguay,187,80,66,31,55,56,69,81,13,Defender
4151,J. Campos,,29,,Bolivia,174,64,65,65,70,74,26,61,11,Midfielder
4152,K. Lawrence,New York Red Bulls,24,USA Major League Soccer,Jamaica,178,70,87,43,58,67,66,70,10,Defender
4153,M. Caktaš,Rubin Kazan,25,Russian Premier League,Croatia,178,68,72,67,71,75,54,67,11,Midfielder
4154,G. Sunu,Angers SCO,26,French Ligue 1,France,181,83,71,72,68,73,32,67,10,Striker
4155,D. Williams,Huddersfield Town,28,English Premier League,United States,182,80,74,69,66,73,69,81,10,Defender
4156,K. Kusk,FC København,25,Danish Superliga,Denmark,180,67,79,68,67,73,33,61,12,Striker
4157,R. Leeuwin,FC Utrecht,29,Holland Eredivisie,Netherlands,187,76,69,45,62,55,69,74,8,Defender
4158,A. Farnerud,BK Häcken,33,Swedish Allsvenskan,Sweden,182,73,66,66,73,71,56,62,9,Midfielder
4159,R. Espinoza,Sporting Kansas City,30,USA Major League Soccer,Honduras,180,77,65,67,66,71,69,77,10,Midfielder
4160,Tyronne,CD Tenerife,26,Spanish Segunda División,Spain,180,72,76,58,65,75,38,67,9,Striker
4161,E. Finlay,Minnesota United,26,USA Major League Soccer,United States,175,75,89,64,64,69,44,60,11,Striker
4162,João Pedro,LA Galaxy,24,USA Major League Soccer,Portugal,175,69,71,64,64,70,69,74,12,Midfielder
4163,A. Rivas,Deportes Tolima,32,Colombian Primera A,Colombia,181,73,68,59,68,69,67,73,11,Midfielder
4164,U. Bech,Hannover 96,24,German Bundesliga,Denmark,170,75,78,67,62,75,20,62,10,Striker
4165,Lionn,Rio Ave FC,28,Portuguese Primeira Liga,Brazil,184,77,76,56,59,68,68,74,11,Defender
4166,J. Larsson,Brøndby IF,27,Danish Superliga,Sweden,182,73,81,64,68,67,62,76,13,Defender
4167,André Leal,FC Paços de Ferreira,21,Portuguese Primeira Liga,Portugal,174,64,73,61,70,75,51,49,11,Midfielder
4168,R. Shotton,Middlesbrough,28,English Championship,England,191,84,66,52,61,61,70,77,10,Defender
4169,F. Bellugou,ES Troyes AC,30,French Ligue 1,France,186,75,38,44,64,65,72,71,10,Defender
4170,S. Motta,La Equidad,33,Colombian Primera A,Colombia,172,69,69,64,75,71,53,58,11,Midfielder
4171,Gabriel Silva,AS Saint-Étienne,26,French Ligue 1,Brazil,179,75,76,59,70,70,66,66,9,Defender
4172,M. Coda,Benevento Calcio,28,Italian Serie A,Italy,184,72,62,73,50,66,24,61,12,Striker
4173,W. Mesloub,FC Lorient,31,French Ligue 2,Algeria,180,69,68,68,75,74,64,70,8,Midfielder
4174,R. Schoofs,KV Mechelen,23,Belgian First Division A,Belgium,179,71,65,63,73,67,57,64,10,Midfielder
4175,V. Afonin,FC Anzhi Makhachkala,29,Russian Premier League,Uzbekistan,180,75,64,55,73,66,68,66,10,Midfielder
4176,E. Nabiullin,Rubin Kazan,22,Russian Premier League,Russia,174,70,91,39,60,71,68,58,11,Defender
4177,Vitinho,FC Barcelona B,19,Spanish Segunda División,Brazil,175,68,70,66,66,72,35,50,8,Midfielder
4178,V. Di Cesare,Parma,34,Italian Serie B,Italy,187,75,41,47,31,53,72,75,10,Defender
4179,I. Sylla,Toulouse FC,23,French Ligue 1,Guinea,180,75,72,61,68,69,67,74,11,Midfielder
4180,S. Adegbenro,Rosenborg BK,21,Norwegian Eliteserien,Nigeria,178,75,87,66,61,75,37,70,11,Striker
4181,Montoro,Granada CF,29,Spanish Segunda División,Spain,181,72,48,63,68,67,66,72,13,Midfielder
4182,Cyriac,Medicana Sivasspor,26,Turkish Süper Lig,Ivory Coast,172,75,85,70,62,72,27,61,12,Striker
4183,D. Chará,Portland Timbers,31,USA Major League Soccer,Colombia,172,68,69,60,63,70,66,75,11,Midfielder
4184,A. Grassi,Ferrara (SPAL),22,Italian Serie A,Italy,183,75,71,61,69,71,63,66,10,Midfielder
4185,Tiago Pombeira,Sport Club do Recife,29,Campeonato Brasileiro Série A,Brazil,173,65,78,64,68,74,32,50,9,Midfielder
4186,E. Benítez,Querétaro,29,Mexican Liga MX,Paraguay,176,70,74,71,67,73,30,71,11,Striker
4187,R. Fardenal,CD Universidad de Concepción,29,Chilian Primera División,Chile,192,85,49,44,53,49,69,81,9,Defender
4188,R. Hennings,Fortuna Düsseldorf,29,German 2. Bundesliga,Germany,180,80,73,72,60,65,36,78,13,Striker
4189,J. Speroni,Crystal Palace,38,English Premier League,Argentina,186,80,74,70,67,73,43,67,70,Goalkeeper
4190,Y. Bounou,Girona CF,26,Spanish Primera División,Morocco,192,78,68,78,69,66,35,71,70,Goalkeeper
4191,T. Pledl,FC Ingolstadt 04,23,German 2. Bundesliga,Germany,173,72,77,59,68,75,50,58,10,Midfielder
4192,A. Hughes,Heart of Midlothian,37,Scottish Premiership,Northern Ireland,183,70,23,35,52,51,72,70,11,Defender
4193,Afonso Figueiredo,Stade Rennais FC,24,French Ligue 1,Portugal,171,64,75,42,61,71,68,65,10,Defender
4194,J. Bamba,AS Saint-Étienne,21,French Ligue 1,France,175,72,84,70,63,74,39,58,12,Striker
4195,C. Ledesma,FC Lugano,34,Swiss Super League,Italy,180,78,54,65,77,75,61,65,8,Midfielder
4196,D. Kuciak,Lechia Gdańsk,32,Polish Ekstraklasa,Slovakia,194,87,73,64,54,75,36,75,68,Goalkeeper
4197,C. Coady,Wolverhampton Wanderers,24,English Championship,England,184,78,60,66,64,64,70,74,11,Defender
4198,J. Gol,Amkar Perm,31,Russian Premier League,Poland,182,77,59,61,67,69,67,74,12,Midfielder
4199,E. O'Kane,Leeds United,26,English Championship,Republic of Ireland,173,69,70,53,68,73,62,66,11,Midfielder
4200,B. McKay,Nottingham Forest,22,English Championship,Scotland,175,67,88,60,67,74,40,56,12,Midfielder
4201,F. Klein,FK Austria Wien,30,Austrian Bundesliga,Austria,180,66,80,59,68,69,67,70,10,Defender
4202,M. Putnocký,Lech Poznań,32,Polish Ekstraklasa,Slovakia,195,91,73,72,66,73,44,72,71,Goalkeeper
4203,E. Toloza,Independiente Medellín,33,Colombian Primera A,Colombia,174,75,93,66,61,66,25,72,10,Striker
4204,G. Poblete,FC Metz,24,French Ligue 1,Argentina,173,63,69,52,67,70,65,69,9,Midfielder
4205,M. Coronel,Gimnasia y Esgrima La Plata,28,Argentinian Superliga,Argentina,180,80,54,37,51,49,71,68,11,Defender
4206,P. Dummett,Newcastle United,25,English Premier League,Wales,182,77,65,40,62,67,72,71,13,Defender
4207,Carlitos,FC Sion,34,Swiss Super League,Portugal,176,73,71,69,73,73,39,60,10,Midfielder
4208,J. Bostock,RC Lens,25,French Ligue 2,Trinidad & Tobago,188,84,67,71,70,69,56,76,13,Midfielder
4209,Y. Sanogo,Toulouse FC,24,French Ligue 1,France,191,74,66,69,58,65,28,69,13,Striker
4210,G. Gianniotas,Real Valladolid,24,Spanish Segunda División,Greece,174,72,81,66,67,73,27,61,12,Striker
4211,J. Vaughan,Sunderland,28,English Championship,England,182,83,79,70,54,67,43,75,12,Striker
4212,S. Sunzu,Arsenal Tula,28,Russian Premier League,Zambia,189,80,70,35,54,51,70,71,12,Defender
4213,T. Schick,BSC Young Boys,27,Swiss Super League,Austria,180,73,72,67,66,73,50,69,14,Striker
4214,A. Asiri,Al Ittihad,25,Saudi Professional League,Saudi Arabia,179,63,64,30,45,41,72,76,11,Defender
4215,J. Sánchez,CPD Junior Barranquilla,29,Colombian Primera A,Colombia,177,77,72,62,68,70,68,74,10,Midfielder
4216,Carpio,Cádiz C.F.,33,Spanish Segunda División,Spain,178,67,79,47,57,60,70,79,9,Defender
4217,R. Hassan,FC Midtjylland,26,Danish Superliga,Nigeria,172,64,84,64,63,75,49,65,9,Striker
4218,F. Hübner,Hannover 96,26,German Bundesliga,Germany,193,84,54,43,48,43,71,70,11,Defender
4219,E. Saveljich,Albacete Balompié,26,Spanish Segunda División,Montenegro,186,80,58,32,43,44,72,77,13,Defender
4220,R. Aguileda,Club de Deportes Temuco,29,Chilian Primera División,Chile,186,82,53,29,47,39,74,72,15,Defender
4221,R. Martin,Norwich City,31,English Championship,Scotland,185,85,60,50,58,53,72,74,12,Defender
4222,K. Manneh,Columbus Crew SC,22,USA Major League Soccer,United States,174,68,94,68,62,73,38,57,11,Striker
4223,O. Boscagli,Nîmes Olympique,19,French Ligue 2,France,181,68,68,28,62,66,71,71,10,Defender
4224,Hao Junmin,,30,,China PR,181,74,71,62,71,71,62,66,12,Midfielder
4225,N. Maupay,Brentford,20,English Championship,France,171,69,80,68,62,74,33,56,10,Striker
4226,F. Calvo,Minnesota United,24,USA Major League Soccer,Costa Rica,180,77,68,39,57,63,71,73,10,Defender
4227,Xavi Torres,Perth Glory,30,Australian A-League,Spain,184,82,54,58,68,61,68,75,10,Midfielder
4228,E. Bourgaud,Amiens SC Football,29,French Ligue 1,France,178,77,67,67,72,73,45,61,10,Midfielder
4229,S. Medina,Monterrey,25,Mexican Liga MX,Colombia,180,69,71,48,60,65,71,73,13,Defender
4230,K. Diks,Feyenoord,20,Holland Eredivisie,Netherlands,182,70,77,40,54,66,71,71,11,Defender
4231,R. Baderos,CD Antofagasta,25,Chilian Primera División,Chile,185,86,44,41,55,47,73,70,14,Defender
4232,A. Büyük,Evkur Yeni Malatyaspor,29,Turkish Süper Lig,Turkey,177,78,77,71,62,74,27,60,12,Striker
4233,C. Christie,Middlesbrough,24,English Championship,Republic of Ireland,188,78,83,45,63,69,67,73,11,Defender
4234,Felipe,Hannover 96,30,German Bundesliga,Brazil,193,90,41,43,50,55,68,71,14,Defender
4235,G. Belaud,Stade Brestois 29,30,French Ligue 2,France,177,76,74,48,62,66,66,74,12,Defender
4236,Seoane,CD Lugo,34,Spanish Segunda División,Spain,179,75,57,48,63,59,69,77,11,Defender
4237,M. Cahais,Bahía Blanca,29,Argentinian Superliga,Argentina,185,80,52,45,53,52,72,74,11,Defender
4238,Ricardo Lopes,Jeonbuk Hyundai Motors,26,Korean K League Classic,Brazil,184,78,79,71,67,70,34,69,10,Striker
4239,Iñigo Pérez,CD Numancia,29,Spanish Segunda División,Spain,178,74,67,63,75,66,65,73,9,Midfielder
4240,M. Rangel,Kasimpaşa SK,26,Turkish Süper Lig,Colombia,185,80,64,73,52,65,31,73,10,Striker
4241,S. Hogan,Aston Villa,25,English Championship,Republic of Ireland,180,64,90,65,52,69,27,61,9,Striker
4242,D. Cools,Club Brugge KV,21,Belgian First Division A,Belgium,184,81,72,57,68,68,68,75,9,Defender
4243,M. Dąbrowski,Legia Warszawa,30,Polish Ekstraklasa,Poland,194,88,51,46,50,55,68,82,10,Defender
4244,M. Pintilii,,32,,Romania,180,78,67,65,66,57,71,75,8,Defender
4245,G. Sandoval,Santos Laguna,21,Mexican Liga MX,Mexico,170,66,82,61,68,73,54,56,10,Midfielder
4246,B. Diawara,Adelaide United,29,Australian A-League,Senegal,185,76,74,68,55,67,32,75,11,Striker
4247,C. Salom,Puebla,30,Mexican Liga MX,Palestine,169,73,77,70,58,68,28,68,12,Striker
4248,Jorge Sáenz,CD Tenerife,20,Spanish Segunda División,Spain,192,75,65,41,63,62,70,77,9,Defender
4249,J. Kiełb,Korona Kielce,29,Polish Ekstraklasa,Poland,183,70,85,70,64,69,34,68,9,Striker
4250,D. McGoldrick,Ipswich Town,29,English Championship,Republic of Ireland,183,74,68,69,68,75,31,69,10,Striker
4251,Y. Mokhtar,PEC Zwolle,25,Holland Eredivisie,Morocco,179,72,75,60,67,75,38,57,8,Midfielder
4252,N. Leali,SV Zulte-Waregem,24,Belgian First Division A,Italy,188,78,73,72,58,76,32,65,69,Goalkeeper
4253,L. Aveldaño,CD Tenerife,31,Spanish Segunda División,Argentina,185,82,59,52,53,46,68,80,10,Defender
4254,J. Aldunsate,Universidad Católica,25,Chilian Primera División,Chile,183,78,62,53,63,63,69,76,13,Defender
4255,A. Soto,Racing Club de Avellaneda,23,Argentinian Superliga,Argentina,174,84,76,36,59,73,68,65,9,Defender
4256,M. Basha,Bari,30,Italian Serie B,Albania,180,72,67,60,68,69,66,74,8,Midfielder
4257,D. Cvetinović,RC Lens,28,French Ligue 2,Serbia,186,81,65,46,53,57,69,79,13,Defender
4258,E. Başsan,Galatasaray SK,25,Turkish Süper Lig,Turkey,177,66,79,68,69,73,20,57,11,Striker
4259,V. Fiorillo,Pescara,27,Italian Serie B,Italy,190,79,71,68,66,73,39,68,69,Goalkeeper
4260,M. Henriksen,Hull City,24,English Championship,Norway,187,80,64,70,67,70,65,78,14,Midfielder
4261,Germán,Granada CF,30,Spanish Segunda División,Spain,187,82,59,38,57,55,68,81,9,Defender
4262,M. Kone,Cesena,27,Italian Serie B,Ivory Coast,180,71,77,63,64,72,65,80,9,Midfielder
4263,F. Holland,SV Darmstadt 98,26,German 2. Bundesliga,Germany,172,74,73,45,61,68,72,70,12,Defender
4264,B. Safari,Malmö FF,32,Swedish Allsvenskan,Sweden,181,81,79,44,66,69,69,73,10,Defender
4265,Paulolettinho,Sociedade Esportiva Palmeiras,33,Campeonato Brasileiro Série A,Brazil,181,80,81,59,70,73,30,61,11,Midfielder
4266,S. Malezas,PAOK Thessaloniki,32,Greek Super League,Greece,192,76,54,33,47,50,73,70,9,Defender
4267,L. Fariña,CD Aves,26,Portuguese Primeira Liga,Argentina,177,72,73,64,68,75,52,56,9,Striker
4268,J. Cornejo,Club León,26,Mexican Liga MX,Chile,177,78,78,55,65,67,69,71,10,Defender
4269,C. Luna,Club Atlético Tigre,35,Argentinian Superliga,Argentina,179,81,60,71,65,67,27,66,13,Striker
4270,E. Arévalo Ríos,Racing Club de Avellaneda,35,Argentinian Superliga,Uruguay,170,68,66,56,62,64,69,78,11,Defender
4271,B. Zuculini,Hellas Verona,24,Italian Serie A,Argentina,178,72,69,62,70,73,65,58,11,Midfielder
4272,E. Horvath,Club Brugge KV,22,Belgian First Division A,United States,194,84,74,73,61,75,49,60,69,Goalkeeper
4273,M. Stoppelkamp,MSV Duisburg,30,German 2. Bundesliga,Germany,180,75,78,68,66,71,52,70,12,Striker
4274,S. Çikalleshi,Osmanlıspor,26,Turkish Süper Lig,Albania,185,80,70,73,58,60,32,69,9,Striker
4275,A. Vaņins,FC Zürich,37,Swiss Super League,Latvia,186,85,73,67,67,75,39,67,70,Goalkeeper
4276,A. Papadopoulos,Brisbane Roar,32,Australian A-League,Greece,186,79,49,53,58,58,69,80,11,Defender
4277,J. Arandero,Everton de Viña del Mar,29,Chilian Primera División,Chile,177,72,75,65,66,62,69,67,12,Midfielder
4278,T. Taiwo,AFC Eskilstuna,32,Swedish Allsvenskan,Nigeria,183,81,77,62,69,66,69,76,14,Defender
4279,N. De Pauw,SV Zulte-Waregem,27,Belgian First Division A,Belgium,181,77,73,69,68,71,37,69,11,Striker
4280,I. Uche,Gimnàstic de Tarragona,33,Spanish Segunda División,Nigeria,172,70,73,72,58,70,30,66,12,Striker
4281,R. Thomas,PEC Zwolle,22,Holland Eredivisie,New Zealand,175,64,79,58,68,76,46,60,9,Midfielder
4282,Alex das Freitas,Sociedade Esportiva Palmeiras,29,Campeonato Brasileiro Série A,Brazil,172,76,66,55,59,65,70,70,11,Midfielder
4283,D. Dessena,Cagliari,30,Italian Serie A,Italy,183,75,68,65,67,70,70,74,4,Defender
4284,Mossa,Real Oviedo,28,Spanish Segunda División,Spain,178,72,75,45,64,64,66,78,10,Defender
4285,João Diogo,CF Os Belenenses,29,Portuguese Primeira Liga,Portugal,175,69,77,52,61,69,69,66,13,Defender
4286,M. Bjärsmyr,Medicana Sivasspor,31,Turkish Süper Lig,Sweden,186,82,58,34,44,46,72,74,13,Defender
4287,J. Poulsen,FC Midtjylland,33,Danish Superliga,Denmark,181,74,60,68,72,69,56,74,9,Midfielder
4288,A. Salvamanos,Santiago Wanderers,25,Chilian Primera División,Chile,180,79,68,45,62,67,71,78,8,Defender
4289,V. Fayzulin,Zenit St. Petersburg,31,Russian Premier League,Russia,176,72,67,63,73,73,63,61,12,Midfielder
4290,P. Rodríguez,AEK Athens,27,Greek Super League,Argentina,168,62,78,64,70,73,35,42,10,Midfielder
4291,J. Mauri,Milan,21,Italian Serie A,Italy,169,65,72,53,72,77,59,52,10,Midfielder
4292,N. Bärkroth,Lech Poznań,25,Polish Ekstraklasa,Sweden,174,75,87,63,67,76,28,64,11,Midfielder
4293,J. Madueña,Club Atlas,27,Mexican Liga MX,Mexico,177,78,82,47,69,75,66,74,9,Defender
4294,L. Kelly,Reading,21,English Championship,Republic of Ireland,168,65,71,63,74,72,57,46,14,Midfielder
4295,S. Bertoli,Club Atlético Patronato,39,Argentinian Superliga,Argentina,185,81,75,71,79,71,29,65,72,Goalkeeper
4296,E. Juárez,Monterrey,29,Mexican Liga MX,Mexico,180,76,75,53,67,66,67,72,9,Defender
4297,R. Aït Atmane,Real Sporting de Gijón,24,Spanish Segunda División,Algeria,189,78,47,52,66,63,65,74,10,Midfielder
4298,M. Barthelmé,La Berrichonne de Châteauroux,28,French Ligue 2,France,176,73,73,56,69,72,66,64,13,Midfielder
4299,Ji Dong Won,FC Augsburg,26,German Bundesliga,Korea Republic,187,77,72,69,59,73,36,72,13,Striker
4300,D. Rotariu,Royal Excel Mouscron,21,Belgian First Division A,Romania,180,72,70,67,66,75,34,55,11,Striker
4301,A. Hoffmann,Fortuna Düsseldorf,24,German 2. Bundesliga,Germany,188,84,51,38,57,56,71,68,9,Defender
4302,G. Valsvik,Eintracht Braunschweig,24,German 2. Bundesliga,Norway,195,93,54,47,45,39,72,83,11,Defender
4303,C. M'Bengue,AS Saint-Étienne,28,French Ligue 1,Senegal,182,79,70,42,64,65,70,72,12,Defender
4304,A. Al Khaibari,Al Hilal,31,Saudi Professional League,Saudi Arabia,176,62,71,46,57,59,72,77,13,Defender
4305,H. Palacios,Club Brugge KV,24,Belgian First Division A,Colombia,177,75,89,38,63,62,64,77,13,Defender
4306,William,VfL Wolfsburg,22,German Bundesliga,Brazil,171,67,76,36,65,72,68,68,8,Defender
4307,Oier,Levante UD,27,Spanish Primera División,Spain,189,91,73,66,73,68,44,75,71,Goalkeeper
4308,A. Haghighi,AFC Eskilstuna,29,Swedish Allsvenskan,Iran,193,80,68,69,63,74,35,68,68,Goalkeeper
4309,B. Megyeri,SpVgg Greuther Fürth,27,German 2. Bundesliga,Hungary,188,89,68,65,70,77,38,74,71,Goalkeeper
4310,B. Nieuwkoop,Feyenoord,21,Holland Eredivisie,Netherlands,180,72,78,41,66,66,68,74,10,Defender
4311,C. Gönen,Málaga CF,29,Spanish Primera División,Turkey,190,84,78,63,69,80,46,64,71,Goalkeeper
4312,Kim Min Woo,Suwon Samsung Bluewings,27,Korean K League Classic,Korea Republic,172,69,72,62,68,70,62,70,11,Midfielder
4313,E. Aguirre,Pachuca,20,Mexican Liga MX,Mexico,170,63,87,54,68,70,65,69,10,Defender
4314,Edu Machado,Boavista FC,27,Portuguese Primeira Liga,Portugal,175,67,73,44,50,70,70,68,14,Defender
4315,Álvaro,Getafe CF,22,Spanish Primera División,Spain,176,71,79,65,63,74,44,63,8,Striker
4316,M. Knaller,FC Ingolstadt 04,30,German 2. Bundesliga,Austria,192,85,70,72,59,73,43,69,69,Goalkeeper
4317,H. Dean,Birmingham City,25,English Championship,England,191,75,55,33,46,51,69,80,15,Defender
4318,Baena,Granada CF,28,Spanish Segunda División,Spain,181,72,46,54,65,61,71,70,12,Defender
4319,E. Cocalić,KV Mechelen,29,Belgian First Division A,Bosnia Herzegovina,190,86,44,35,51,51,71,75,11,Defender
4320,E. Insúa,Panathinaikos FC,26,Greek Super League,Argentina,182,82,73,58,62,68,69,74,10,Defender
4321,C. Bryson,Cardiff City,30,English Championship,Scotland,170,60,70,67,66,70,64,69,12,Midfielder
4322,C. Vendoval,Universidad Católica,29,Chilian Primera División,Chile,173,65,78,64,68,74,32,50,9,Midfielder
4323,Lee Dong Gook,Jeonbuk Hyundai Motors,38,Korean K League Classic,Korea Republic,187,83,66,72,69,66,24,59,10,Striker
4324,C. Pellerano,Tiburones Rojos de Veracruz,35,Mexican Liga MX,Argentina,182,74,55,68,66,66,70,81,8,Midfielder
4325,S. Logan,Aberdeen,29,Scottish Premiership,England,175,70,81,49,63,70,67,69,10,Defender
4326,D. Hernández,Águilas Doradas,24,Colombian Primera A,Colombia,176,65,75,60,70,71,32,59,8,Midfielder
4327,José Arnáiz,FC Barcelona B,22,Spanish Segunda División,Spain,175,70,83,70,65,74,31,53,13,Striker
4328,E. Villa,Querétaro,35,Mexican Liga MX,Argentina,178,83,43,71,62,64,41,68,11,Striker
4329,D. Ndongala,Standard de Liège,26,Belgian First Division A,DR Congo,170,59,85,55,64,78,26,50,11,Midfielder
4330,T. Okriashvili,FC Krasnodar,25,Russian Premier League,Georgia,181,71,76,62,66,76,31,52,9,Striker
4331,Nathan,Amiens SC Football,21,French Ligue 1,Brazil,177,71,78,68,66,80,23,54,11,Midfielder
4332,M. Jonckheere,KV Oostende,27,Belgian First Division A,Belgium,180,64,61,61,69,69,57,66,12,Midfielder
4333,J. Martins Pereira,En Avant de Guingamp,31,French Ligue 1,France,182,78,66,49,65,68,70,70,11,Defender
4334,J. van den Berg,Reading,31,English Championship,Netherlands,182,77,49,63,62,63,70,80,10,Defender
4335,L. Moult,Motherwell,25,Scottish Premiership,England,184,85,77,68,50,64,36,74,12,Striker
4336,M. Barragán,Necaxa,25,Mexican Liga MX,Mexico,179,76,75,68,62,69,37,70,8,Striker
4337,C. Fierro,Guadalajara,22,Mexican Liga MX,Mexico,175,70,90,65,61,74,33,62,10,Striker
4338,Mika,Sunderland,26,English Championship,Portugal,195,90,73,67,68,73,34,70,70,Goalkeeper
4339,S. Ribas,Club Atlético Patronato,29,Argentinian Superliga,Uruguay,189,80,71,72,49,70,27,73,11,Striker
4340,A. Sapeta,Dinamo Moscow,28,Russian Premier League,Russia,183,79,64,61,67,67,67,70,10,Midfielder
4341,J. Morrow,Toronto FC,29,USA Major League Soccer,United States,175,75,74,63,63,67,69,75,11,Defender
4342,João Teixeira,Vitória Setúbal,23,Portuguese Primeira Liga,Portugal,179,72,77,60,67,74,57,68,10,Midfielder
4343,S. Nakamura,Júbilo Iwata,39,Japanese J1 League,Japan,178,71,31,72,77,73,30,51,8,Midfielder
4344,J. Cuffaut,AS Nancy Lorraine,29,French Ligue 2,France,180,75,73,34,64,62,67,76,10,Defender
4345,A. Tighadouini,FC Twente,24,Holland Eredivisie,Morocco,180,72,72,75,67,76,32,61,10,Striker
4346,M. González,Club Atlético Huracán,36,Argentinian Superliga,Argentina,175,80,60,73,72,74,55,68,11,Striker
4347,V. Kjartansson,,27,,Iceland,184,80,71,71,47,64,27,68,10,Striker
4348,A. Abrashi,SC Freiburg,27,German Bundesliga,Albania,172,71,69,59,59,65,70,79,14,Midfielder
4349,P. Arriola,D.C. United,22,USA Major League Soccer,United States,167,65,86,65,64,74,43,56,12,Striker
4350,F. Campbell,Hull City,29,English Championship,England,172,82,77,70,57,71,34,67,12,Striker
4351,Suso Santana,CD Tenerife,32,Spanish Segunda División,Spain,172,62,85,61,63,75,52,76,9,Striker
4352,M. Formica,U.N.A.M.,29,Mexican Liga MX,Argentina,178,70,76,69,66,74,30,59,13,Striker
4353,Djaniny,Santos Laguna,26,Mexican Liga MX,Cape Verde,188,85,81,68,63,74,33,73,11,Striker
4354,F. Zuqui,Estudiantes de La Plata,25,Argentinian Superliga,Argentina,170,65,68,63,70,74,59,68,1,Midfielder
4355,S. Lobotka,RC Celta de Vigo,22,Spanish Primera División,Slovakia,170,64,67,56,68,74,55,61,12,Midfielder
4356,J. Obita,Reading,23,English Championship,England,180,74,79,63,70,70,67,66,12,Defender
4357,D. Asprilla,Al Fayha,28,Saudi Professional League,Colombia,177,77,77,68,65,73,33,70,11,Striker
4358,J. Ikoné,Montpellier Hérault SC,19,French Ligue 1,France,175,67,87,65,59,76,30,58,10,Striker
4359,F. Lértora,Belgrano de Córdoba,26,Argentinian Superliga,Argentina,176,73,65,51,66,65,73,71,9,Defender
4360,Nsue,Birmingham City,27,English Championship,Equatorial Guinea,178,75,85,62,65,73,62,78,12,Striker
4361,A. Rispoli,Palermo,28,Italian Serie B,Italy,188,83,80,56,64,70,65,77,12,Defender
4362,I. Pillud,Racing Club de Avellaneda,31,Argentinian Superliga,Argentina,179,79,84,50,62,63,68,78,11,Defender
4363,P. Sané,AJ Auxerre,25,French Ligue 2,Senegal,187,85,77,70,47,69,26,73,11,Striker
4364,Pita,CD Lugo,32,Spanish Segunda División,Spain,187,81,36,64,75,61,65,67,12,Midfielder
4365,L. Freeman,Queens Park Rangers,25,English Championship,England,172,73,78,63,70,73,45,61,10,Midfielder
4366,J. Rosenthal,SV Darmstadt 98,31,German 2. Bundesliga,Germany,186,77,65,68,69,71,37,63,28,Striker
4367,G. Koutroumpis,Panathinaikos FC,26,Greek Super League,Greece,190,82,52,40,50,50,71,75,11,Defender
4368,Adeilson Gesser,Botafogo de Futebol e Regatas,25,Campeonato Brasileiro Série A,Brazil,175,70,81,58,67,73,47,51,10,Midfielder
4369,C. Peña,Rangers,27,Scottish Premiership,Mexico,178,76,72,67,67,69,66,78,11,Striker
4370,Y. Al Mosailem,Al Ahli,33,Saudi Professional League,Saudi Arabia,184,84,69,71,66,70,40,72,70,Goalkeeper
4371,J. Williams,Sunderland,23,English Championship,Wales,168,60,71,62,65,78,42,61,11,Midfielder
4372,A. Losilla,VfL Bochum,31,German 2. Bundesliga,France,185,80,64,53,63,69,68,75,10,Midfielder
4373,N. Zimling,SønderjyskE,32,Danish Superliga,Denmark,178,73,43,63,67,69,66,69,9,Midfielder
4374,M. Abdul Shafy,Al Ahli,32,Saudi Professional League,Egypt,170,71,75,57,62,69,69,71,10,Defender
4375,M. Eggestein,SV Werder Bremen,20,German Bundesliga,Germany,181,75,59,54,68,73,59,64,12,Midfielder
4376,K. Sankaré,Cádiz C.F.,32,Spanish Segunda División,Senegal,190,78,54,33,43,45,70,80,11,Defender
4377,R. Mphahlele,Kaizer Chiefs,27,South African PSL,South Africa,185,80,73,29,60,66,72,65,12,Defender
4378,Miguel Silva,Vitória Guimarães,22,Portuguese Primeira Liga,Portugal,188,78,75,65,59,77,49,67,69,Goalkeeper
4379,K. Lee,Sheffield Wednesday,29,English Championship,England,178,76,70,57,69,69,66,66,11,Midfielder
4380,B. Koita,Kasimpaşa SK,26,Turkish Süper Lig,France,186,86,78,67,58,71,22,67,9,Striker
4381,Marcos Pizzelli,Al Shabab,32,Saudi Professional League,Armenia,178,68,66,68,72,70,32,62,11,Midfielder
4382,A. Bakasetas,AEK Athens,24,Greek Super League,Greece,181,77,69,72,70,67,42,70,12,Striker
4383,Pozo,UD Almería,21,Spanish Segunda División,Spain,170,65,73,66,67,75,50,52,8,Midfielder
4384,Derley,CD Aves,29,Portuguese Primeira Liga,Brazil,183,76,63,70,63,70,33,77,9,Striker
4385,Heltinho Melo,Clube Atlético Mineiro,33,Campeonato Brasileiro Série A,Brazil,174,68,81,54,71,74,55,55,8,Midfielder
4386,Nascimentardo,Clube Atlético Paranaense,29,Campeonato Brasileiro Série A,Brazil,170,66,83,57,72,74,43,42,10,Midfielder
4387,P. Barrera,U.N.A.M.,30,Mexican Liga MX,Mexico,178,72,79,65,68,71,43,69,11,Striker
4388,Marc Mateu,CD Numancia,27,Spanish Segunda División,Spain,180,71,61,65,73,72,47,63,11,Midfielder
